i,j,center_dx_px,center_dy_px,rotation_angle_deg
1.200000000000000000e+01,6.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,5.739104091207090619e+01
1.200000000000000000e+01,7.000000000000000000e+00,1.887576982426253380e-02,-4.896912723779678345e-04,-1.799925043617197389e+02
1.200000000000000000e+01,8.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,5.739104083000437839e+01
1.200000000000000000e+01,9.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,-1.799925043617195968e+02
1.300000000000000000e+01,0.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,-1.799925043617197105e+02
1.300000000000000000e+01,1.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,5.739104078448300328e+01
1.300000000000000000e+01,2.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,-1.799925043617197105e+02
1.300000000000000000e+01,3.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,5.739104078021983213e+01
1.300000000000000000e+01,4.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,-1.799925043617197673e+02
1.300000000000000000e+01,5.000000000000000000e+00,1.887576982380778645e-02,-4.896912725484980911e-04,5.739104090573315631e+01
1.300000000000000000e+01,6.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,-1.799925043617197105e+02
1.300000000000000000e+01,7.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,5.739104073081659152e+01
1.300000000000000000e+01,8.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,-1.799925043617198241e+02
1.300000000000000000e+01,9.000000000000000000e+00,1.887576982380778645e-02,-4.896912726053415099e-04,5.739104072444527560e+01
1.400000000000000000e+01,0.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104106988860110e+01
1.400000000000000000e+01,1.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,-1.799925043617194831e+02
1.400000000000000000e+01,2.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104113705787569e+01
1.400000000000000000e+01,3.000000000000000000e+00,1.887576982403516013e-02,-4.896912725484980911e-04,-1.799925043617194547e+02
1.400000000000000000e+01,4.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104104420780317e+01
1.400000000000000000e+01,5.000000000000000000e+00,1.887576982403516013e-02,-4.896912725484980911e-04,-1.799925043617195115e+02
1.400000000000000000e+01,6.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104113592885170e+01
1.400000000000000000e+01,7.000000000000000000e+00,1.887576982403516013e-02,-4.896912723779678345e-04,-1.799925043617194831e+02
1.400000000000000000e+01,8.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104105386272181e+01
1.400000000000000000e+01,9.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,-1.799925043617193410e+02
1.500000000000000000e+01,0.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,-1.799925043617197105e+02
1.500000000000000000e+01,1.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104078293877365e+01
1.500000000000000000e+01,2.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,-1.799925043617197105e+02
1.500000000000000000e+01,3.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104077867560250e+01
1.500000000000000000e+01,4.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,-1.799925043617197673e+02
1.500000000000000000e+01,5.000000000000000000e+00,1.887576982403516013e-02,-4.896912725484980911e-04,5.739104090418930326e+01
1.500000000000000000e+01,6.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,-1.799925043617197105e+02
1.500000000000000000e+01,7.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104072927236899e+01
1.500000000000000000e+01,8.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,-1.799925043617198241e+02
1.500000000000000000e+01,9.000000000000000000e+00,1.887576982403516013e-02,-4.896912726053415099e-04,5.739104072598912154e+01
1.600000000000000000e+01,0.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104084603063427e+01
1.600000000000000000e+01,1.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,-1.799925043617197389e+02
1.600000000000000000e+01,2.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104091319990175e+01
1.600000000000000000e+01,3.000000000000000000e+00,1.887576982403516013e-02,-4.896912725484980911e-04,-1.799925043617197389e+02
1.600000000000000000e+01,4.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104082034945975e+01
