i,j,force_x,force_y,force_z,original_center_x_px,original_center_y_px,displaced_center_x_px,displaced_center_y_px,center_dx_px,center_dy_px,rotation_angle_deg,p1_original_x_px,p1_original_y_px,p1_displaced_x_px,p1_displaced_y_px,p1_dx_px,p1_dy_px,p2_original_x_px,p2_original_y_px,p2_displaced_x_px,p2_displaced_y_px,p2_dx_px,p2_dy_px,p3_original_x_px,p3_original_y_px,p3_displaced_x_px,p3_displaced_y_px,p3_dx_px,p3_dy_px
1.000000000000000000e+00,0.000000000000000000e+00,-1.047055765438853164e-11,-7.064892764869223170e-12,-1.658390601862991565e-09,2.944884982849177959e+02,1.938341476333077651e+02,2.945137321797654977e+02,1.938314157513287341e+02,2.523389484770177660e-02,-2.731881979030958973e-03,-1.799929300313471003e+02,2.944884982849177959e+02,1.468125000000000000e+02,2.945110761241537602e+02,2.152686462823936324e+02,2.257783923596434761e-02,6.845614628239363242e+01,3.352104396631627878e+02,2.173449714499616618e+02,2.759498908254495859e+02,1.831105190257293884e+02,-5.926054883771320192e+01,-3.423445242423227342e+01,2.537665569066728608e+02,2.173449714499616618e+02,3.130802295896932037e+02,1.831150819458632384e+02,5.931367268302034290e+01,-3.422988950409842346e+01
1.000000000000000000e+00,1.000000000000000000e+00,-6.340738305742992613e-10,-4.278179708287836693e-10,-4.950295313749756615e-08,2.944884982849177959e+02,2.408557952666155302e+02,2.945137687514570644e+02,2.408530934533649486e+02,2.527046653926845465e-02,-2.701813250581608372e-03,4.806660173453533957e+01,2.944884982849177959e+02,2.878774428999233237e+02,2.945111127537370521e+02,2.622903239844358723e+02,2.261446881925621710e-02,-2.558711891548745143e+01,3.352104396631627878e+02,2.173449714499616334e+02,2.759499273681860245e+02,2.301321967778990825e+02,-5.926051229497676331e+01,1.278722532793744904e+01,2.537665569066728608e+02,2.173449714499616334e+02,3.130802661324481733e+02,2.301367595977598626e+02,5.931370922577531246e+01,1.279178814779822915e+01
1.000000000000000000e+00,2.000000000000000000e+00,-6.772644752207308020e-07,-4.567725565724343824e-07,-1.638401698325900452e-05,2.944884982849177959e+02,3.348990905332310604e+02,2.945137687514570644e+02,3.348963887199805072e+02,2.527046653926845465e-02,-2.701813250553186663e-03,-1.799929301860770181e+02,2.944884982849177959e+02,2.878774428999233237e+02,2.945111127537370521e+02,3.563336192510513456e+02,2.261446881925621710e-02,6.845617635112802191e+01,3.352104396631627878e+02,3.584099143498849571e+02,2.759499273681860245e+02,3.241754920445146126e+02,-5.926051229497676331e+01,-3.423442230537034447e+01,2.537665569066728608e+02,3.584099143498849571e+02,3.130802661324481733e+02,3.241800548643753928e+02,5.931370922577531246e+01,-3.422985948550956437e+01
1.000000000000000000e+00,3.000000000000000000e+00,-1.200530100660434076e-05,-8.090854276736764985e-06,-1.833328717339901680e-04,2.944884982849177959e+02,3.819207381665389107e+02,2.945137687514570644e+02,3.819180363532883007e+02,2.527046653926845465e-02,-2.701813250610030082e-03,4.806660174300315447e+01,2.944884982849177959e+02,4.289423857998466474e+02,2.945111127537370521e+02,4.033552668843591960e+02,2.261446881925621710e-02,-2.558711891548745143e+01,3.352104396631627878e+02,3.584099143498850140e+02,2.759499273681860245e+02,3.711971396778224062e+02,-5.926051229497676331e+01,1.278722532793739219e+01,2.537665569066728608e+02,3.584099143498850140e+02,3.130802661324481733e+02,3.712017024976832431e+02,5.931370922577531246e+01,1.279178814779822915e+01
1.000000000000000000e+00,4.000000000000000000e+00,-1.150385745352949362e-03,-7.714067372213367999e-04,-8.926375084790534251e-03,2.944884982849177959e+02,4.759640334331544409e+02,2.945138807049200977e+02,4.759613578015608368e+02,2.538242000230184203e-02,-2.675631593604066438e-03,-1.799703720372617965e+02,2.944884982849177959e+02,4.289423857998466474e+02,2.945027844201495100e+02,4.973985855373827576e+02,1.428613523171406996e-02,6.845619973753611021e+01,3.352104396631627878e+02,4.994748572498082808e+02,2.759542620035818459e+02,4.652331532878832263e+02,-5.925617765958094196e+01,-3.424170396192505450e+01,2.537665569066728608e+02,4.994748572498082808e+02,3.130845956910289942e+02,4.652523345794164129e+02,5.931803878435613342e+01,-3.422252267039186790e+01
1.000000000000000000e+00,5.000000000000000000e+00,-6.397599212079815856e-03,-4.264820539920352246e-03,-3.919174956064352261e-02,2.944884982849177959e+02,5.229856810664621207e+02,2.945216436937511730e+02,5.229804098789497857e+02,3.314540883337713240e-02,-5.271187512335018255e-03,4.138932959823568325e+01,2.944884982849177959e+02,5.700073286997699142e+02,2.944646615576249928e+02,5.444175633782439263e+02,-2.383672729280306157e-02,-2.558976532152598793e+01,3.352104396631627878e+02,4.994748572498082808e+02,2.759850482060931540e+02,5.122125141986509789e+02,-5.922539145706963382e+01,1.273765694884269806e+01,2.537665569066728608e+02,4.994748572498082808e+02,3.131152213175354291e+02,5.123111520599543383e+02,5.934866441086256827e+01,1.283629481014605744e+01
1.000000000000000000e+00,6.000000000000000000e+00,-6.845517530123526595e-02,-4.476850299666448874e-02,-3.000228928992429989e-01,2.944884982849177959e+02,6.170289763330778214e+02,2.948294826956678207e+02,6.170076639023595817e+02,3.409844107500248356e-01,-2.131243071823973878e-02,-1.788899412256520804e+02,2.944884982849177959e+02,5.700073286997700279e+02,2.944124750381915874e+02,6.384401578578352883e+02,-7.602324672620852652e-02,6.843282915806526034e+01,3.352104396631627878e+02,6.405398001497317182e+02,2.764799826523521915e+02,6.059333142430066346e+02,-5.873045701081059633e+01,-3.460648590672508362e+01,2.537665569066728608e+02,6.405398001497317182e+02,3.135959903964597402e+02,6.066495196062367086e+02,5.982943348978687936e+01,-3.389028054349500962e+01
1.000000000000000000e+00,7.000000000000000000e+00,-1.308483362620956048e-01,-8.468460638124367112e-02,-5.187517480596384178e-01,2.944884982849177959e+02,6.640506239663855013e+02,2.951342243715268978e+02,6.640355127235758346e+02,6.457260866091019125e-01,-1.511124280966669176e-02,4.305958983284043029e+01,2.944884982849177959e+02,7.110722715996932948e+02,2.944171440004810165e+02,6.854586414083639738e+02,-7.135428443677938048e-02,-2.561363019132932095e+01,3.352104396631627878e+02,6.405398001497317182e+02,2.769505962092989080e+02,6.527130357196144814e+02,-5.825984345386387986e+01,1.217323556988276323e+01,2.537665569066728608e+02,6.405398001497317182e+02,3.140349329048008258e+02,6.539348610427491622e+02,6.026837599812796498e+01,1.339506089301744396e+01
1.000000000000000000e+00,8.000000000000000000e+00,-1.454381115416942538e-01,-9.268359720029592519e-02,-5.849444370228183976e-01,2.944884982849177959e+02,7.580939192330009746e+02,2.952037781957236007e+02,7.580792519519782218e+02,7.152799108058047750e-01,-1.466728102275283163e-02,-1.778538972729045611e+02,2.944884982849177959e+02,7.110722715996932948e+02,2.943945228086146813e+02,7.794988504057018872e+02,-9.397547630311464673e-02,6.842657880600859244e+01,3.352104396631627878e+02,7.816047430496548714e+02,2.770718823369973052e+02,7.466805080225323081e+02,-5.813855732616548266e+01,-3.492423502712256322e+01,2.537665569066728608e+02,7.816047430496548714e+02,3.141449294415588156e+02,7.480583974277005836e+02,6.037837253488595479e+01,-3.354634562195428771e+01
1.000000000000000000e+00,9.000000000000000000e+00,-8.038198463100219848e-02,-5.098824038942702253e-02,-3.761094372379916728e-01,2.944884982849177959e+02,8.051155668663088818e+02,2.948812307125093071e+02,8.050940373336084122e+02,3.927324275915111684e-01,-2.152953270046964462e-02,4.344666583054610243e+01,2.944884982849177959e+02,8.521372144996165616e+02,2.943584152848700342e+02,8.265240555202367432e+02,-1.300830000477617432e-01,-2.561315897937981845e+01,3.352104396631627878e+02,7.816047430496549850e+02,2.765878052489212564e+02,7.939301469136123615e+02,-5.862263441424153143e+01,1.232540386395737642e+01,2.537665569066728608e+02,7.816047430496549850e+02,3.136974716037366875e+02,7.948279095669760181e+02,5.993091469706382668e+01,1.322316651732103310e+01
